state,date,total_population,cumulative_total_test_results,cumulative_total_test_results_per_1000,total_test_results_increase,cumulative_positive_tests,positive_tests_increase,cumulative_negative_tests,cumulative_positivity_rate,cumulative_deaths,cumulative_deaths_per_100_000,deaths_increase
Alaska,3/6/2020 0:00,737438,8,0.01084837,0,,0,8,,0,0,0
Alaska,3/7/2020 0:00,737438,12,0.016272554,4,,0,12,,0,0,0
Alaska,3/8/2020 0:00,737438,14,0.018984647,2,,0,14,,0,0,0
Alaska,3/9/2020 0:00,737438,23,0.031189063,9,,0,23,,0,0,0
Alaska,3/10/2020 0:00,737438,23,0.031189063,0,,0,23,,0,0,0
Alaska,3/11/2020 0:00,737438,46,0.062378125,23,,0,46,,0,0,0
Alaska,3/12/2020 0:00,737438,46,0.062378125,0,,0,46,,0,0,0
Alaska,3/13/2020 0:00,737438,60,0.081362772,14,,0,60,,0,0,0
Alaska,3/14/2020 0:00,737438,144,0.195270653,84,,0,144,,0,0,0
Alaska,3/15/2020 0:00,737438,144,0.195270653,0,,0,144,,0,0,0
Alaska,3/16/2020 0:00,737438,144,0.195270653,0,,0,144,,0,0,0
Alaska,3/17/2020 0:00,737438,337,0.45698757,193,3,3,334,0.890207715,0,0,0
Alaska,3/18/2020 0:00,737438,412,0.558691036,75,8,5,404,1.941747573,0,0,0
Alaska,3/19/2020 0:00,737438,438,0.593948237,26,11,3,427,2.511415525,0,0,0
Alaska,3/20/2020 0:00,737438,698,0.94652025,260,14,3,684,2.005730659,0,0,0
Alaska,3/21/2020 0:00,737438,772,1.046867669,74,15,1,757,1.943005181,0,0,0
Alaska,3/22/2020 0:00,737438,968,1.312652725,196,25,10,943,2.582644628,0,0,0
Alaska,3/23/2020 0:00,737438,968,1.312652725,0,38,13,930,3.925619835,0,0,0
Alaska,3/24/2020 0:00,737438,1022,1.38587922,54,42,4,980,4.109589041,0,0,0
Alaska,3/25/2020 0:00,737438,1691,2.29307413,669,49,7,1642,2.897693672,1,0.14,1
Alaska,3/26/2020 0:00,737438,1860,2.522245938,169,63,14,1797,3.387096774,1,0.14,0
Alaska,3/27/2020 0:00,737438,2388,3.238238333,528,74,11,2314,3.098827471,1,0.14,0
Alaska,3/28/2020 0:00,737438,2921,3.96101096,533,91,17,2830,3.115371448,2,0.27,1
Alaska,3/29/2020 0:00,737438,3334,4.521058041,413,110,19,3224,3.299340132,2,0.27,0
Alaska,3/30/2020 0:00,737438,3654,4.954992827,320,118,8,3536,3.229337712,3,0.41,1
Alaska,3/31/2020 0:00,737438,3713,5.034999553,59,128,10,3585,3.447347159,3,0.41,0
Alaska,4/1/2020 0:00,737438,4603,6.241880673,890,141,13,4462,3.063219639,3,0.41,0
Alaska,4/2/2020 0:00,737438,5022,6.810064033,419,149,8,4873,2.96694544,3,0.41,0
Alaska,4/3/2020 0:00,737438,6016,8.157973958,994,160,11,5856,2.659574468,3,0.41,0
Alaska,4/4/2020 0:00,737438,6040,8.190519067,24,171,11,5869,2.831125828,5,0.68,2
Alaska,4/5/2020 0:00,737438,6284,8.521394341,244,185,14,6099,2.943984723,6,0.81,1
Alaska,4/6/2020 0:00,737438,6883,9.333666017,599,191,6,6692,2.774952782,6,0.81,0
Alaska,4/7/2020 0:00,737438,6913,9.374347403,30,213,22,6700,3.081151454,6,0.81,0
Alaska,4/8/2020 0:00,737438,7068,9.584534564,155,226,13,6842,3.197509904,7,0.95,1
Alaska,4/9/2020 0:00,737438,7223,9.794721726,155,235,9,6988,3.253495777,7,0.95,0
Alaska,4/10/2020 0:00,737438,7432,10.07813538,209,246,11,7186,3.310010764,7,0.95,0
Alaska,4/11/2020 0:00,737438,7732,10.48494924,300,257,11,7475,3.323848939,8,1.08,1
Alaska,4/12/2020 0:00,737438,8038,10.89989938,306,272,15,7766,3.38392635,8,1.08,0
Alaska,4/13/2020 0:00,737438,7830,10.61784177,-208,277,5,7553,3.537675607,8,1.08,0
Alaska,4/14/2020 0:00,737438,8348,11.3202737,518,285,8,8063,3.413991375,9,1.22,1
Alaska,4/15/2020 0:00,737438,8664,11.7487843,316,293,8,8371,3.381809788,9,1.22,0
Alaska,4/16/2020 0:00,737438,8735,11.84506359,71,300,7,8435,3.434459073,9,1.22,0
Alaska,4/17/2020 0:00,737438,9450,12.81463662,715,309,9,9141,3.26984127,9,1.22,0
Alaska,4/18/2020 0:00,737438,9655,13.09262609,205,314,5,9341,3.252200932,9,1.22,0
Alaska,4/19/2020 0:00,737438,9895,13.41807718,240,319,5,9576,3.22385043,9,1.22,0
Alaska,4/20/2020 0:00,737438,10124,13.72861176,229,321,2,9803,3.170683524,9,1.22,0
Alaska,4/21/2020 0:00,737438,11119,15.07787773,995,329,8,10790,2.958899182,9,1.22,0
Alaska,4/22/2020 0:00,737438,12159,16.48816578,1040,335,6,11824,2.755160786,9,1.22,0
Alaska,4/23/2020 0:00,737438,12161,16.49087788,2,337,2,11824,2.771153688,9,1.22,0
Alaska,4/24/2020 0:00,737438,12281,16.65360342,120,339,2,11942,2.760361534,9,1.22,0
Alaska,4/25/2020 0:00,737438,15732,21.33331887,3451,339,0,15393,2.154843631,9,1.22,0
Alaska,4/26/2020 0:00,737438,16177,21.93675943,445,341,2,15836,2.107931013,9,1.22,0
Alaska,4/27/2020 0:00,737438,16256,22.04388708,79,345,4,15911,2.122293307,9,1.22,0
Alaska,4/28/2020 0:00,737438,17089,23.17347357,833,351,6,16738,2.053952835,9,1.22,0
Alaska,4/29/2020 0:00,737438,19119,25.92624736,2030,355,4,18764,1.856791673,9,1.22,0
Alaska,4/30/2020 0:00,737438,19119,25.92624736,0,355,0,18764,1.856791673,9,1.22,0
Alaska,5/1/2020 0:00,737438,20325,27.56163908,1206,364,9,19961,1.790897909,9,1.22,0
Alaska,5/2/2020 0:00,737438,21399,29.0180327,1074,365,1,21034,1.705687182,9,1.22,0
Alaska,5/3/2020 0:00,737438,21578,29.26076497,179,368,3,21210,1.705440727,9,1.22,0
Alaska,5/4/2020 0:00,737438,21723,29.45739167,145,370,2,21353,1.703263822,9,1.22,0
Alaska,5/5/2020 0:00,737438,22692,30.77140044,969,371,1,22321,1.634937423,9,1.22,0
Alaska,5/6/2020 0:00,737438,23655,32.07727294,963,372,1,23283,1.572606214,10,1.36,1
Alaska,5/7/2020 0:00,737438,24341,33.00752063,686,374,2,23967,1.536502198,10,1.36,0
Alaska,5/8/2020 0:00,737438,25473,34.54256493,1132,377,3,25096,1.47999843,10,1.36,0
Alaska,5/9/2020 0:00,737438,26449,35.86606603,976,378,1,26071,1.429165564,10,1.36,0
Alaska,5/10/2020 0:00,737438,27364,37.1068483,915,379,1,26985,1.385031428,10,1.36,0
Alaska,5/11/2020 0:00,737438,28680,38.89140511,1316,381,2,28299,1.328451883,10,1.36,0
Alaska,5/12/2020 0:00,737438,29961,40.62850029,1281,383,2,29578,1.278328494,10,1.36,0
Alaska,5/13/2020 0:00,737438,30649,41.56146008,688,384,1,30265,1.25289569,10,1.36,0
Alaska,5/14/2020 0:00,737438,31762,43.07073951,1113,389,5,31373,1.224733959,10,1.36,0
Alaska,5/15/2020 0:00,737438,32418,43.96030582,656,390,1,32028,1.203035351,10,1.36,0
Alaska,5/16/2020 0:00,737438,33281,45.13057369,863,394,4,32887,1.183858658,10,1.36,0
Alaska,5/17/2020 0:00,737438,34651,46.98835699,1370,398,4,34253,1.148596,10,1.36,0
Alaska,5/18/2020 0:00,737438,35611,48.29016134,960,401,3,35210,1.126056556,10,1.36,0
Alaska,5/19/2020 0:00,737438,36380,49.33296087,769,401,0,35979,1.102253986,10,1.36,0
Alaska,5/20/2020 0:00,737438,37045,50.2347316,665,404,3,36641,1.090565528,10,1.36,0
Alaska,5/21/2020 0:00,737438,39545,53.62484711,2500,404,0,39141,1.021620938,10,1.36,0
Alaska,5/22/2020 0:00,737438,41446,56.20269094,1901,406,2,41040,0.979587898,10,1.36,0
Alaska,5/23/2020 0:00,737438,42351,57.42991275,905,410,4,41941,0.968099927,10,1.36,0
Alaska,5/24/2020 0:00,737438,43507,58.99750216,1156,410,0,43097,0.942377089,10,1.36,0
Alaska,5/25/2020 0:00,737438,44472,60.30608675,965,411,1,44061,0.92417701,10,1.36,0
Alaska,5/26/2020 0:00,737438,44964,60.97326148,492,413,2,44551,0.918512588,10,1.36,0
Alaska,5/27/2020 0:00,737438,46363,62.87037012,1399,414,1,45949,0.892953433,10,1.36,0
Alaska,5/28/2020 0:00,737438,47970,65.04953637,1607,427,13,47543,0.890139671,10,1.36,0
Alaska,5/29/2020 0:00,737438,49439,67.04156824,1469,432,5,49007,0.873804082,10,1.36,0
Alaska,5/30/2020 0:00,737438,51695,70.10080847,2256,435,3,51260,0.84147403,10,1.36,0
Alaska,5/31/2020 0:00,737438,51695,70.10080847,0,463,28,51232,0.895637876,10,1.36,0
Alaska,6/1/2020 0:00,737438,54190,73.48414375,2495,470,7,53720,0.867318693,10,1.36,0
Alaska,6/2/2020 0:00,737438,56203,76.21386476,2013,490,20,55713,0.871839582,10,1.36,0
Alaska,6/3/2020 0:00,737438,58182,78.89748019,1979,508,18,57674,0.873122271,10,1.36,0
Alaska,6/4/2020 0:00,737438,60097,81.49430867,1915,518,10,59579,0.861939864,10,1.36,0
Alaska,6/5/2020 0:00,737438,60990,82.70525793,893,529,11,60461,0.867355304,10,1.36,0
Alaska,6/6/2020 0:00,737438,63901,86.65270843,2911,541,12,63360,0.846622119,10,1.36,0
Alaska,6/7/2020 0:00,737438,64904,88.01282277,1003,549,8,64355,0.845864662,10,1.36,0
Alaska,6/8/2020 0:00,737438,65912,89.37971735,1008,567,18,65345,0.860237893,10,1.36,0
Alaska,6/9/2020 0:00,737438,66890,90.70593053,978,578,11,66312,0.864105247,11,1.49,1
Alaska,6/10/2020 0:00,737438,67720,91.83144888,830,598,20,67122,0.883047844,11,1.49,0
Alaska,6/11/2020 0:00,737438,69011,93.58210453,1291,616,18,68395,0.892611323,11,1.49,0
Alaska,6/12/2020 0:00,737438,70880,96.11655488,1869,630,14,70250,0.888826185,12,1.63,1
Alaska,6/13/2020 0:00,737438,71803,97.36818553,923,656,26,71147,0.913610852,12,1.63,0
Alaska,6/14/2020 0:00,737438,73467,99.62464641,1664,665,9,72802,0.905168307,12,1.63,0
Alaska,6/15/2020 0:00,737438,74437,100.9400112,970,668,3,73769,0.897403173,12,1.63,0
Alaska,6/16/2020 0:00,737438,76215,103.3510614,1778,681,13,75534,0.893524897,12,1.63,0
Alaska,6/17/2020 0:00,737438,77709,105.3769944,1494,701,20,77008,0.902083414,12,1.63,0
Alaska,6/18/2020 0:00,737438,81185,110.090611,3476,713,12,80472,0.878241054,12,1.63,0
Alaska,6/19/2020 0:00,737438,83631,113.4075,2446,729,16,82902,0.871686336,12,1.63,0
Alaska,6/20/2020 0:00,737438,86918,117.8648239,3287,750,21,86168,0.862882257,12,1.63,0
Alaska,6/21/2020 0:00,737438,88051,119.4012242,1133,761,11,87290,0.864271842,12,1.63,0
Alaska,6/22/2020 0:00,737438,90824,123.1615404,2773,767,6,90057,0.844490443,12,1.63,0
Alaska,6/23/2020 0:00,737438,92947,126.0404264,2123,783,16,92164,0.84241557,12,1.63,0
Alaska,6/24/2020 0:00,737438,96096,130.3106159,3149,797,14,95299,0.829378954,12,1.63,0
Alaska,6/25/2020 0:00,737438,99452,134.861507,3356,821,24,98631,0.825523871,12,1.63,0
Alaska,6/26/2020 0:00,737438,101792,138.0346551,2340,839,18,100953,0.824229802,14,1.9,2
Alaska,6/27/2020 0:00,737438,105581,143.1727142,3789,858,19,104723,0.812646215,14,1.9,0
Alaska,6/28/2020 0:00,737438,108300,146.8598038,2719,887,29,107413,0.819021237,14,1.9,0
Alaska,6/29/2020 0:00,737438,108709,147.4144267,409,908,21,107801,0.83525743,14,1.9,0
